iter	Passed	Remaining
0	152	152346
1	154	77215
2	158	52747
3	161	40275
4	164	32807
5	167	27810
6	170	24247
7	174	21603
8	176	19434
9	179	17800
10	182	16406
11	185	15246
12	188	14291
13	191	13460
14	193	12732
15	197	12139
16	200	11592
17	203	11110
18	205	10595
19	207	10190
20	210	9793
21	212	9457
22	215	9150
23	218	8879
24	221	8644
25	224	8404
26	227	8200
27	230	7998
28	233	7821
29	236	7633
30	239	7473
31	242	7322
32	245	7181
33	247	7044
34	250	6910
35	253	6788
36	256	6670
37	259	6557
38	262	6462
39	265	6361
40	267	6262
41	270	6164
42	272	6075
43	275	5993
44	278	5913
45	281	5835
46	284	5765
47	287	5694
48	289	5626
49	293	5567
50	295	5504
51	298	5443
52	301	5392
53	304	5334
54	308	5292
55	310	5237
56	313	5190
57	316	5138
58	319	5088
59	323	5060
60	326	5028
61	329	4985
62	332	4944
63	335	4909
64	338	4874
65	342	4843
66	345	4811
67	348	4781
68	352	4752
69	355	4721
70	358	4691
71	361	4658
72	364	4626
73	367	4593
74	369	4561
75	372	4531
76	375	4495
77	377	4465
78	380	4440
79	383	4412
80	385	4376
81	388	4351
82	391	4327
83	394	4306
84	397	4275
85	400	4251
86	402	4228
87	405	4205
88	408	4179
89	411	4157
90	413	4135
91	415	4104
92	418	4083
93	421	4062
94	424	4044
95	427	4029
96	430	4010
97	434	3995
98	437	3978
99	439	3959
100	442	3940
101	445	3921
102	447	3897
103	449	3870
104	451	3851
105	454	3835
106	457	3818
107	460	3800
108	462	3783
109	465	3769
110	469	3758
111	472	3743
112	475	3729
113	477	3714
114	480	3699
115	483	3685
116	486	3670
117	489	3655
118	491	3642
119	494	3628
120	497	3613
121	500	3602
122	503	3589
123	506	3576
124	509	3563
125	511	3549
126	514	3536
127	517	3523
128	519	3510
129	523	3500
130	526	3490
131	529	3480
132	532	3470
133	535	3460
134	538	3449
135	541	3439
136	544	3430
137	547	3420
138	550	3411
139	553	3401
140	556	3391
141	559	3383
142	562	3374
143	566	3364
144	569	3355
145	572	3346
146	575	3337
147	578	3327
148	581	3319
149	584	3310
150	587	3305
151	590	3296
152	593	3288
153	597	3280
154	600	3272
155	603	3266
156	607	3263
157	611	3256
158	614	3252
159	618	3244
160	621	3237
161	624	3229
162	627	3223
163	630	3215
164	633	3208
165	636	3200
166	639	3190
167	642	3182
168	645	3175
169	648	3167
170	651	3159
171	655	3155
172	658	3148
173	661	3141
174	664	3134
175	668	3128
176	671	3121
177	674	3113
178	677	3106
179	680	3099
180	683	3094
181	686	3087
182	689	3079
183	693	3073
184	696	3066
185	699	3059
186	702	3052
187	705	3045
188	708	3038
189	710	3031
190	714	3024
191	717	3017
192	720	3012
193	724	3008
194	728	3008
195	732	3003
196	735	2997
197	738	2993
198	742	2989
199	746	2984
200	749	2980
201	753	2976
202	757	2972
203	760	2966
204	763	2960
205	766	2954
206	769	2948
207	772	2942
208	775	2936
209	779	2931
210	782	2927
211	786	2922
212	789	2918
213	793	2913
214	797	2910
215	801	2909
216	805	2904
217	808	2898
218	811	2893
219	814	2888
220	817	2881
221	820	2875
222	823	2869
223	826	2864
224	829	2858
225	832	2852
226	836	2847
227	839	2841
228	842	2835
229	845	2829
230	848	2824
231	851	2818
232	854	2811
233	857	2807
234	860	2802
235	863	2796
236	866	2790
237	869	2784
238	873	2780
239	876	2774
240	879	2769
241	882	2763
242	885	2758
243	888	2753
244	891	2747
245	894	2741
246	897	2736
247	900	2730
248	903	2724
249	906	2718
250	909	2713
251	912	2707
252	915	2702
253	918	2696
254	921	2691
255	924	2686
256	927	2680
257	930	2676
258	933	2670
259	936	2665
260	939	2660
261	943	2656
262	946	2652
263	949	2647
264	952	2642
265	956	2638
266	960	2635
267	963	2631
